Chapter,School/ Location,Email,Type,Province,Founded,Website,Status
Ringgold Graduate,"Ringgold, Georgia",ringgoldgrad@kappapsi.org,Graduate,Atlantic,6/20/2009,,Active
Saint Louis Graduate,"Saint Louis, Missouri",stlouisgrad@kappapsi.org,Graduate,Mid-America,3/24/1949,,Active
San Antonio Graduate,"San Antonio, TX",sanantoniograd@kappapsi.org,Graduate,Southwest,5/17/2014,,Active
San Diego Graduate,"San Diego, Ca",sandiegograd@kappapsi.org,Graduate,Pacific West,6/6/2011,,Active
San Francisco Graduate,"San Francisco, California",sanfranciscograd@kappapsi.org,Graduate,Pacific West,1/30/1914,,Active
Savannah Graduate,"Savannah, GA",savannahgrad@kappapsi.org,Graduate,Southeast,6/16/2011,,Active
Seattle Graduate,"Seattle, Washington",seattlegrad@kappapsi.org,Graduate,Northwest,3/1/1925,,Active
South Alabama Graduate,"Loxley,Al.",southalabamagrad@kappapsi.org,Graduate,Gulf Coast,6/25/2011,,Active
South Carolina Graduate,"Columbia, South Carolina",southcarolinagrad@kappapsi.org,Graduate,Atlantic,9/15/1917,,Active
South Carolina Upstate Graduate,"Greenville, SC",southcarolinaupstategrad@kappapsi.org,Graduate,Atlantic,5/23/2015,,Active
South Dakota Graduate,"Brookings, South Dakota",southdakotagrad@kappapsi.org,Graduate,Northern Plains,4/19/2008,,Active
South Texas Graduate,Corpus Christi. Texas,southtexasgrad@kappapsi.org,Graduate,Southwest,6/27/2015,,Active
Southeast Florida - Bahamas Graduate,"Fort Lauderdale, Florida",seflbahamasgrad@kappapsi.org,Graduate,Southeast,8/7/2007,,Active
Southeastern Massachusetts Graduate,"New Bedford, Massachusetts",semassachusettsgrad@kappapsi.org,Graduate,Northeast,3/20/2009,,Active
Southwestern Graduate,"Weatherford, Oklahoma",southwesterngrad@kappapsi.org,Graduate,Southwest,10/18/1969,,Active
Tampa Graduate,"Tampa, Florida",tampagrad@kappapsi.org,Graduate,Southeast,11/18/2006,,Active
Tennessee Graduate,"Memphis, Tennessee",tennesseegrad@kappapsi.org,Graduate,Gulf Coast,4/23/1983,,Active
Texas Graduate,"Austin, Texas",texasgrad@kappapsi.org,Graduate,Southwest,4/3/1955,,Active
Toledo Graduate,"Toledo, Ohio",toledograd@kappapsi.org,Graduate,Great Lakes,5/13/1932,,Active
Utah Graduate,"Salt Lake City ,Utah",utahgrad@kappapsi.org,Graduate,Northwest,12/17/2016,,Active
Virginia Graduate,"Richmond, Virginia",virginiagrad@kappapsi.org,Graduate,Atlantic,2/28/1982,,Active
West Virginia Graduate,"Morgantown, West Virginia",westvirginiagrad@kappapsi.org,Graduate,Mountain East,8/11/1958,,Active
Wisconsin Graduate,"Madison, Wisconsin",wisconsingrad@kappapsi.org,Graduate,Northern Plains,6/17/1949,,Active
Atlanta Graduate (Medicine),"Atlanta, Georgia",,Graduate,Dormant,2/26/1916,,"Discontinued: January 15, 1925"
Birmingham Graduate,"Birmingham, Alabama",,Graduate,Dormant,10/28/1909,,"Discontinued: January 15, 1925"
Brooklyn Graduate (Medicine),"Brooklyn, New York",,Graduate,Dormant,1/26/1918,,"Discontinued: January 15, 1925"
Chicago Graduate,"Chicago, Illinois",,Graduate,Dormant,4/21/1911,,"Discontinued: January 1, 1960"
Dallas Graduate (Medicine),"Dallas, Texas",,Graduate,Dormant,5/20/1917,,"Discontinued: January 15, 1925"
Huntington Graduate (Medicine),"Huntington, West Virginia",,Graduate,Dormant,4/3/1905,,Discontinued: 1920
Illinois State Graduate (Medicine),State of Illinois,,Graduate,Dormant,11/30/1920,,"Discontinued: January 15, 1925"
Little Rock Graduate (Medicine),"Little Rock, Arkansas",,Graduate,Dormant,5/6/1924,,"Discontinued: January 15, 1925"
Massachusetts Graduate (Medicine),"Brookline, Massachusetts",,Graduate,Dormant,3/21/1924,,"Discontinued: January 15, 1925"
Memphis Graduate,"Memphis, Tennessee",,Graduate,Dormant,11/15/1917,,"Discontinued: January 1, 1953"
Nashville Graduate,"Nashville, Tennessee",,Graduate,Dormant,5/17/1917,,"Discontinued: January 15, 1925"
New Orleans Graduate (Medicine),"New Orleans, Louisiana",,Graduate,Dormant,2/16/1917,,"Discontinued: January 15, 1925"
Raleigh Graduate,"Raleigh, North Carolina",,Graduate,Dormant,11/18/1938,,"Discontinued: January 1, 1939"
Richmond Graduate (Medicine),"Richmond, Virginia",,Graduate,Dormant,12/20/1917,,"Discontinued: January 15, 1925"
Washington Graduate (Medicine),"Washington, D.C.",,Graduate,Dormant,5/3/1917,,"Discontinued: January 15, 1925"
West Virginia Graduate (Medicine),"Charleston, West Virginia",,Graduate,Dormant,6/4/1919,,"Discontinued: January 15, 1925"
