Chapter,School/ Location,Email,Type,Province,Founded,Founded 2,Difference in dates,Website,Status
Delta Gamma,Auburn University,deltagamma@kappapsi.org,Collegiate,Gulf Coast,2/24/1963,2/24/1963,0,,Active
Delta Iota,Florida A&M University,deltaiota@kappapsi.org,Collegiate,Southeast,6/6/1975,6/7/1975,-1,,Active
Delta Kappa,Howard University,deltakappa@kappapsi.org,Collegiate,Mountain East,4/19/1986,4/19/1986,0,,Active
Delta Lambda,Campbell University,deltalambda@kappapsi.org,Collegiate,Atlantic,4/23/1988,4/23/1988,0,,Active
Delta Mu,University of British Columbia,deltamu@kappapsi.org,Collegiate,Northwest,4/30/1988,4/30/1988,0,,Active
Delta Nu,Midwestern University at Downers Grove,deltanu@kappapsi.org,Collegiate,Mid-America,3/12/1994,3/12/1994,0,,Active
Delta Omega,South University,deltaomega@kappapsi.org,Collegiate,Southeast,12/10/2005,12/10/2005,0,,Active
Delta Omicron,Wilkes University,deltaomicron@kappapsi.org,Collegiate,Northeast,11/7/1997,11/7/1997,0,,Active
Delta Phi,University of California San Diego,deltaphi@kappapsi.org,Collegiate,Pacific West,8/9/2003,8/9/2003,0,,Active
Delta Pi,Texas Tech University,deltapi@kappapsi.org,Collegiate,Southwest,11/14/1997,11/14/1997,0,,Active
Delta Psi,University of Minnesota Duluth,deltapsi@kappapsi.org,Collegiate,Northern Plains,7/10/2005,7/10/2005,0,,Active
Delta Rho,Nova Southeastern University,deltarho@kappapsi.org,Collegiate,Southeast,11/14/1998,11/14/1998,0,,Active
Delta Sigma,Midwestern University at Glendale,deltasigma@kappapsi.org,Collegiate,Pacific West,9/9/2000,9/9/2000,0,,Active
Delta Tau,Roseman University of Health Sciences,deltatau@kappapsi.org,Collegiate,Pacific West,1/10/2003,1/10/2003,0,,Active
Delta Theta,Texas Southern University,deltatheta@kappapsi.org,Collegiate,Southwest,3/25/1973,3/25/1973,0,,Active
Delta Upsilon,Palm Beach Atlantic University,deltaupsilon@kappapsi.org,Collegiate,Southeast,5/3/2003,5/3/2003,0,,Active
Delta Xi,Shenandoah University,deltaxi@kappapsi.org,Collegiate,Mountain East,9/13/1997,9/13/1997,0,,Active
Delta Zeta,University of Iowa,deltazeta@kappapsi.org,Collegiate,Northern Plains,12/12/1968,12/12/1968,0,,Active
Epsilon,University of Minnesota Twin Cities,epsilon@kappapsi.org,Collegiate,Northern Plains,4/30/1928,4/13/1928,17,,Active
Epsilon Beta,University of the Incarnate Word Feik School of Pharmacy,epsilonbeta@kappapsi.org,Collegiate,Southwest,4/12/2008,4/12/2008,0,,Active
Epsilon Chi,University of Utah,epsilonchi@kappapsi.org,Collegiate,Northwest,10/6/2012,10/6/2012,0,,Active
Epsilon Delta,University of Appalachia,epsilondelta@kappapsi.org,Collegiate,Atlantic,4/12/2008,4/12/2008,0,,Active
Epsilon Epsilon,Texas A&M Health Science Center,epsilonepsilon@kappapsi.org,Collegiate,Southwest,8/23/2008,8/23/2008,0,,Active
Epsilon Eta,LECOM - Bradenton School of Pharmacy,epsiloneta@kappapsi.org,Collegiate,Southeast,3/28/2009,3/28/2009,0,,Active
Epsilon Gamma,Western University of Health Sciences,epsilongamma@kappapsi.org,Collegiate,Pacific West,7/28/2007,7/28/2007,0,,Active
Epsilon Iota,California Northstate College of Pharmacy,epsiloniota@kappapsi.org,Collegiate,Pacific West,6/27/2009,6/27/2009,0,,Active
Epsilon Kappa,Belmont University,epsilonkappa@kappapsi.org,Collegiate,Gulf Coast,2/21/2010,2/21/2010,0,,Active
Epsilon Lambda,Lipscomb University,epsilonlambda@kappapsi.org,Collegiate,Gulf Coast,8/13/2010,8/13/2010,0,,Active
Epsilon Mu,Univ. of Florida - Orlando,epsilonmu@kappapsi.org,Collegiate,Southeast,11/12/2010,11/12/2010,0,,Active
Epsilon Nu,Univ. of Maryland - Eastern Shore,epsilonnu@kappapsi.org,Collegiate,Mountain East,1/27/2011,1/27/2011,0,,Active
Epsilon Omega,Rosalind Franklin University of Medicine and Science,epsilonomega@kappapsi.org,Collegiate,Mid-America,11/23/2013,11/23/2013,0,,Active
Epsilon Omicron,D'Youville College,epsilonomicron@kappapsi.org,Collegiate,Mountain East,5/5/2011,5/7/2011,-2,,Active
Epsilon Phi,South University - Columbia,susopkappapsi@gmail.com,Collegiate,Atlantic,4/14/2012,4/14/2012,0,,Active
Epsilon Pi,Idaho State University - Meridian,epsilonpi@kappapsi.org,Collegiate,Northwest,11/12/2011,11/12/2011,0,,Active
Epsilon Psi,University of Hawaii-Hilo,epsilonpsi@kappapsi.org,Collegiate,Pacific West,1/30/2013,1/12/2013,18,,Active
Epsilon Rho,University of Illinois - Rockford,epsilonrho@kappapsi.org,Collegiate,Mid-America,1/28/2012,1/28/2012,0,,Active
Epsilon Sigma,University of Florida - St. Petersburg,epsilonsigma@kappapsi.org,Collegiate,Southeast,2/25/2012,2/25/2012,0,,Active
Epsilon Tau,Texas Tech - Abilene,epsilontau@kappapsi.org,Collegiate,Southwest,3/3/2012,3/3/2012,0,,Active
Epsilon Theta,Sullivan University,epsilontheta@kappapsi.org,Collegiate,Great Lakes,10/24/2009,10/24/2009,0,,Active
Epsilon Upsilon,Roosevelt University,epsilonupsilon@kappapsi.org,Collegiate,Mid-America,3/31/2012,3/31/2012,0,,Active
Epsilon Xi,Pacific University,epsilonxi@kappapsi.org,Collegiate,Northwest,2/5/2011,2/5/2011,0,,Active
Epsilon Zeta,East Tennessee State University,epsilonzeta@kappapsi.org,Collegiate,Atlantic,3/21/2009,3/21/2009,0,,Active
Eta,Philadelphia College of Pharmacy,eta@kappapsi.org,Collegiate,Dormant,11/10/1902,11/10/1902,0,,Dormant
Gamma,New York City College of Pharmacy,gamma@kappapsi.org,Collegiate,Dormant,11/20/1898,"November 20, 1898",0,,Dormant
Gamma Chi,Ferris State University,kygammachi@gmail.com,Collegiate,Great Lakes,5/6/1952,5/6/1952,0,,Active
Gamma Delta,Ohio Northern University,gammadelta@kappapsi.org,Collegiate,Great Lakes,3/20/1920,3/20/1920,0,,Active
Gamma Epsilon,University of Nebraska,gammaepsilon@kappapsi.org,Collegiate,Northern Plains,3/20/1920,3/20/1920,0,,Active
Gamma Eta,University of Montana,gammaeta@kappapsi.org,Collegiate,Northwest,6/4/1920,6/4/1920,0,,Active
Gamma Gamma,University of Texas,gammagamma@kappapsi.org,Collegiate,Dormant,5/19/1934,5/19/1934,0,,Dormant
Gamma Iota,State University of New York at Buffalo,gammaiota@kappapsi.org,Collegiate,Dormant,1/16/1921,1/16/1921,0,,Dormant
Gamma Kappa,South Dakota State University,gammakappa@kappapsi.org,Collegiate,Northern Plains,10/17/1958,10/17/1958,0,,Active
Gamma Lambda,Northeastern University,gammalambda@kappapsi.org,Collegiate,Northeast,10/25/1958,10/25/1958,0,,Active
Gamma Mu,Northeast Louisiana State College,gammamu@kappapsi.org,Collegiate,Dormant,2/27/1959,2/27/1959,0,,"Dormant: June 1, 1990"
Gamma Nu,University of the Pacific,gammanu@kappapsi.org,Collegiate,Pacific West,9/17/1960,9/17/1960,0,,Active
Gamma Omega,University of Arkansas for Medical Sciences,gammaomega@kappapsi.org,Collegiate,Gulf Coast,5/28/1955,5/28/1955,0,,Active
Gamma Omicron,University of Oklahoma Health Sciences Center,gammaomicron@kappapsi.org,Collegiate,Southwest,2/3/1923,2/3/1923,0,,Active
Gamma Phi,University of Georgia,gammaphi@kappapsi.org,Collegiate,Atlantic,5/23/1951,5/23/1951,0,,Active
Gamma Pi,St. Louis College of Pharmacy,kappapsi@stlcop.edu,Collegiate,Mid-America,3/19/1946,3/19/1946,0,,Active
Gamma Psi,Mercer University,gammapsi@kappapsi.org,Collegiate,Atlantic,3/6/1953,3/6/1953,0,,Active
Gamma Rho,University of New Mexico,gammarho@kappapsi.org,Collegiate,Southwest,2/16/1948,2/16/1948,0,,Active
Gamma Sigma,University of Florida,gammasigma@kappapsi.org,Collegiate,Southeast,4/28/1949,4/28/1949,0,,Active
Gamma Theta,University of Missouri Kansas City,gammatheta@kappapsi.org,Collegiate,Mid-America,5/15/1957,5/17/1957,-2,,Active
Gamma Upsilon,University of Arizona,gammaupsilon@kappapsi.org,Collegiate,Pacific West,3/20/1950,3/20/1950,0,,Active
Gamma Xi,South Carolina College of Pharmacy - USC Campus,gammaxi@kappapsi.org,Collegiate,Atlantic,5/13/1961,5/13/1961,0,,Active
Gamma Zeta,Samford University,gammazeta@kappapsi.org,Collegiate,Gulf Coast,3/20/1935,3/20/1935,0,,Active
Iota,MUSC College of Pharmacy,kappapsiiota@gmail.com,Collegiate,Dormant,11/29/1927,11/29/1927,0,,Dormant
Mu,Massachusetts College of Pharmacy,mu@kappapsi.org,Collegiate,Dormant,3/4/1907,3/4/1907,0,,Dormant
Mu Omicron Pi,Wayne State University,muomicronpi@kappapsi.org,Collegiate,Great Lakes,5/14/1927,5/14/1927,0,,Active
Nu,University of Connecticut,nu@kappapsi.org,Collegiate,Northeast,5/17/1928,5/7/1928,10,,Active
Omega,Rutgers University,omega@kappapsi.org,Collegiate,Dormant,3/31/1924,3/31/1924,0,,"Dormant: June 1, 1974"
Pi,Purdue University,pi@kappapsi.org,Collegiate,Mid-America,6/11/1928,6/11/1928,0,,Active
Psi,University of Tennessee,psi@kappapsi.org,Collegiate,Gulf Coast,10/9/1925,10/9/1925,0,,Active
Rho,University of Kansas,rho@kappapsi.org,Collegiate,Mid-America,4/23/1932,4/23/1932,0,,Active
Sigma,University of Maryland,sigma@kappapsi.org,Collegiate,Mountain East,3/27/1924,3/27/1924,0,,Active
Theta,Virginia Commonwealth University,theta@kappapsi.org,Collegiate,Atlantic,7/30/1921,7/30/1921,0,,Active
Upsilon,University of Kentucky,upsilon@kappapsi.org,Collegiate,Great Lakes,4/16/1909,4/16/1909,0,,Active
Xi,The Ohio State University,xi@kappapsi.org,Collegiate,Great Lakes,5/21/1925,5/21/1925,0,,Active
Zeta Beta,Husson University,zetabeta@kappapsi.org,Collegiate,Northeast,2/1/2014,2/1/2014,0,,Active
Zeta Delta,University of South Florida,zetadelta@kappapsi.org,Collegiate,Southeast,3/15/2014,3/15/2014,0,,Active
Zeta Epsilon,Northeast Ohio Medical University,zetaepsilon@kappapsi.org,Collegiate,Great Lakes,5/3/2014,5/3/2014,0,,Active
Zeta Eta,Regis University,zetaeta@kappapsi.org,Collegiate,Southwest,9/6/2014,9/6/2014,0,,Active
Zeta Gamma,University of Florida - Jacksonville,zetagamma@kappapsi.org,Collegiate,Southeast,2/8/2014,2/8/2014,0,,Active
Zeta Iota,University of St. Joseph,zetaiota@kappapsi.org,Collegiate,Northeast,3/7/2105,3/7/2105,0,,Active
Zeta Kappa,Marshall University,zetakappa@kappapsi.org,Collegiate,Mountain East,5/2/2015,5/2/2105,0,,Active
Zeta Lambda,University of North Texas Health Science Center,zetalambda@kappapsi.org,Collegiate,Southwest,5/9/2015,5/9/2015,0,,Active
Zeta Mu,Missouri State University,zetamu@kappapsi.org,Collegiate,Mid-America,6/13/2015,6/13/2105,0,,Active
Zeta Nu,Long Island University,zetanu@kappapsi.org,Collegiate,Northeast,6/27/2015,6/27/2015,0,,Active
Zeta Omicron,Roseman University of Health Sciences,zetaomicron@kappapsi.org,Collegiate,Northwest,1/16/2016,1/16/2016,0,,Active
Zeta Pi,St. John's University,zetapi@kappapsi.org,Collegiate,Northeast,5/14/2016,5/14/2016,0,,Active
Zeta Rho,Philadelphia College of Medicine - Georgia,zetarho@kappapsi.org,Collegiate,Atlantic,6/4/2016,6/4/2016,0,,Active
Zeta Sigma,California Health Sciences University,zetasigma@kappapsi.org,Collegiate,Pacific West,9/3/2016,9/3/2106,0,,Active
Zeta Tau,Chapman University School of Pharmacy,zetatau@kappapsi.org,Collegiate,Dormant,1/6/2017,1/6/2017,0,,Active
Zeta Theta,Concordia University - Wisconsin,zetatheta@kappapsi.org,Collegiate,Northern Plains,1/31/2015,1/31/2015,0,,Active
Zeta Upsilon,Union University College of Pharmacy,zetaupsilon@kappapsi.org,Collegiate,Gulf Coast,8/19/2017,8/19/2017,0,,Active
Zeta Xi,South College - Knoxville,zetaxi@kappapsi.org,Collegiate,Atlantic,8/29/2015,8/29/2015,0,,Active
Zeta Zeta,Touro University,zetazeta@kappapsi.org,Collegiate,Northeast,5/25/2014,5/25/2014,0,,Active
